[2017-04-28 13:01:25.860551] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:01:25.864770] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:01:25.870127] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:01:35.823238] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:01:35.831484] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:01:35.837620] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:01:35.843554] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:01:35.849692] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:01:35.854970] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:01:35.861622] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:01:35.868346] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:01:35.874383] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:01:45.824238] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:01:45.832362] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:01:45.846544] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:01:45.855309] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:01:45.859642] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:01:45.861327] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:01:45.865654] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:01:45.868425] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:01:45.880609] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:01:55.823837] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:01:55.833613] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:01:55.838998] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:01:55.846429] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:01:55.851885] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:01:55.857471] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:01:55.867323] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:01:55.869621] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:01:55.876047] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:02:05.825257] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:02:05.835857] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
