[2017-05-05 14:36:43.016747] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:43.018409] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:43.030152] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:43.033279] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:43.035696] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:43.038856] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:43.043153] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:43.045985] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:05 | packet count 0 | byte count 0
[2017-05-05 14:36:43.047829] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:43.049745] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:43.051728] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:43.053478] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:43.055300] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:43.057189] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:43.059122] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:06 | packet count 0 | byte count 0
[2017-05-05 14:36:43.060881] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:43.062586] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
